,User,Tweet,Date
0,Paul_Goodchap,RT @jhendy_10: England and the 2022 FIFA World Cup 🇶🇦 🏆 Thread:,2022-12-12 09:31:50+00:00
1,Retrievals1,RT @MattMurph24: FIFA World Cup 2022: Shocking death of second journalist in 48 hours https://t.co/2ei1m6yQp1,2022-12-12 09:31:43+00:00
2,Edson_8,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…,2022-12-12 09:31:41+00:00
3,K810Mt,RT @celestial_bean_: @MeetJess • Doctors warned of England fans returning from World Cup with symptoms of deadly camel flu (MERS) • SUN Dec…,2022-12-12 09:31:41+00:00
4,roshinuko,"RT @tak53381102: 元祖コロナウイルスのMERSか。確かにサッカー観戦後に観光に行く人は注意だな
https://t.co/TpVDNyYDij

”ワールドカップから帰国したイングランド・ファンは、致命的なラクダ風邪を家に持ち帰る危険性について警告されている。→",2022-12-12 09:31:40+00:00
5,nepalkhabar,मोरक्कोका नेसिरीले तोडे रोनाल्डोकै अघि उनको कीर्तिमान https://t.co/9QHNXsM1c9,2022-12-12 09:31:38+00:00
6,Fromthecaruggi,"@AndreaOrlandosp @brandobenifei Piu che sui i parlamentari europei, sarebbe il caso di fare chiarezza sui legami del Quatar con l'Italia:
https://t.co/4QhIwtBLA0

https://t.co/3aGzobOSCm

Mi chiedo solo se siamo pronti in italia ad affrontare la questione.",2022-12-12 09:31:37+00:00
7,Lekansamz,RT @goal: Describe the winning 2022 World Cup final goal 👇 https://t.co/OgVPM13AgW,2022-12-12 09:31:35+00:00
8,bilalsaleem80,"RT @toisports: 'You are for me the greatest of all time'

@imVkohli hails Cristiano Ronaldo.

READ: https://t.co/72zefAaJWQ

#CristianoRona…",2022-12-12 09:31:35+00:00
9,yonisnw,"RT @David_Ornstein: ⚽️ Bellingham #ENG
⚽️ Mudryk #Ukraine 
⚽️ Amrabat, Ounahi, Amallah #MOR
⚽️ Musah #USA
⚽️ Felix, Ramos, Ronaldo #POR
⚽️…",2022-12-12 09:31:30+00:00
10,Berkaysahinpl,"RT @LLibertadAvanza: Because we are a country, not a Disney movie.  https://t.co/k8Lps8PgW2",2022-12-12 09:31:27+00:00
11,euronewsar,إنجازات المغرب في مونديال قطر توطنّ في نفوس الجيل الكروي العربي الصاعد الثقة بالتألق عالمياً https://t.co/SZOhO04wd7,2022-12-12 09:31:26+00:00
12,JCSura,"$480,000-per-week yacht plays host to super rich at Qatar 2022  https://t.co/sXvZMllHbH",2022-12-12 09:31:24+00:00
13,JCSura,England players adopt stray Qatar cat after World Cup exit https://t.co/HBuVDgddTb,2022-12-12 09:31:23+00:00
14,Anoosh_C,"@pollybindman The cost of boiling the kettle at half time has gone up 5p:

https://t.co/CakxKiAfK4 https://t.co/OnBSHVTnv5",2022-12-12 09:31:21+00:00
15,FiveFiveFiver,"RT @StowNIGDYWIECEJ: Rafal Pankowski, who works with the Polish-based anti-racism group Never Again and advises soccer groups: “Now with Tw…",2022-12-12 09:31:21+00:00
16,naquib_najib,"RT @PaulTenorio: #USMNT winger Gio Reyna's lack of effort in training &amp; scrimmage vs. Al-Gharafa contributed to role at World Cup, per sour…",2022-12-12 09:31:20+00:00
17,Agar123Agar,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…,2022-12-12 09:31:18+00:00
18,tyson_watch,"(LIVE) Streaming FIFA World Cup 2022, Semi-final 
 Live

Argentina vs Croatia prediction, Watch Live Stream Online
France vs Morocco Prediction, Watch Live Stream Online Tv

👇 👇
🔴𝕃𝕀𝕍𝔼 𝐋𝐢𝐧𝐤🔴 https://t.co/PJHRBjEztH

🔴𝕃𝕀𝕍𝔼 𝐋𝐢𝐧𝐤🔴 https://t.co/PJHRBjEztH https://t.co/sB5J6OWmT0",2022-12-12 09:31:18+00:00
19,aalmarri_,RT @manshoor: في ثاني حلقات هذه السلسلة المكونة من 4 مقالات، نتجول في العيون المتعددة التي شاهدت بطولة #كأس_العالم في #قطر، والإنسان القطري…,2022-12-12 09:31:14+00:00
20,tiengudda,"RT @AbsoluteChelsea: Endrick, who is closing in on a move to Real Madrid, and his family were impressed by #Chelsea but found them to be mo…",2022-12-12 09:31:12+00:00
21,ZAQSBusiness,'Perfect' Qatar World Cup draws widespread praise https://t.co/mGdAwREIVX,2022-12-12 09:31:12+00:00
22,ArsenalH49,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…,2022-12-12 09:31:12+00:00
23,tyson_watch,"(LIVE) Streaming FIFA World Cup 2022, Semi-final 
 Live

Argentina vs Croatia prediction, Watch Live Stream Online
France vs Morocco Prediction, Watch Live Stream Online Tv

👇 👇
🔴𝕃𝕀𝕍𝔼 𝐋𝐢𝐧𝐤🔴 https://t.co/PJHRBjEztH

🔴𝕃𝕀𝕍𝔼 𝐋𝐢𝐧𝐤🔴 https://t.co/PJHRBjEztH https://t.co/jBrIkUmiS0",2022-12-12 09:31:05+00:00
24,Sleemzy_avil2,"RT @leotventertain: Today's meme thread 😂😂😂 From Qatar 2022 FIFA World cup to Wizkid (Sir Wizkid, Big WIZ, Popsy)-Ghana show to Dark humors…",2022-12-12 09:31:05+00:00
25,Kittu38496897,"RT @ChartsJJK: 2022 World Cup songs streams — Spotify + YouTube: 

#1 Dreamers — 70.9M + 196M = 266.9M (20 days) 👑
#2 Hayya — 13.6M + 84.3M…",2022-12-12 09:31:04+00:00
26,bodaseun,"RT @leotventertain: Today's meme thread 😂😂😂 From Qatar 2022 FIFA World cup to Wizkid (Sir Wizkid, Big WIZ, Popsy)-Ghana show to Dark humors…",2022-12-12 09:31:01+00:00
27,manutdnewsonly,Facundo Pellistri returns to Manchester after World Cup exit #MUFC #ManUTD #United https://t.co/M1gzSOXCU8,2022-12-12 09:31:00+00:00
28,jungkookmah,"RT @SerieTV46: ""Dreamers (FIFA World Cup 2022 Soundtrack)"" by #JUNGKOOK of @BTS_twt feat. Fahad Al Kubaisi it's the most viewed MV by a Kor…",2022-12-12 09:31:00+00:00
29,Neech_FCB,RT @BarcaWorldwide: Haven't seen mainstream media talk about this enough so I'll bring it back up again: Ronaldo has scored 𝟬 𝗚𝗢𝗔𝗟𝗦 in Worl…,2022-12-12 09:30:57+00:00
30,Ukrayan,RT @CGTNOfficial: What's next for Ronaldo after Portugal's heartbreaking World Cup exit? #WorldCup2022  https://t.co/qhe3zUD9kd,2022-12-12 09:30:57+00:00
31,JoongAngDaily,"After winning the 500-meter gold medal and setting a personal record at the ISU Speed Skating World Cup in Calgary, Canada on Saturday, Kim Min-sun set a second personal best record on Monday in the women’s 1000-meter race despite finishing sixth.
https://t.co/u6P3MincxY",2022-12-12 09:30:55+00:00
