,User,Tweet
0,jhymy,@tolunimi_ lmao! check your DMs
1,jhymy,So much bad blood between the Pelicans and the Suns. Feels like a playoff game.
2,jhymy,@Orayvaar She said take this for the new week loves.
3,jhymy,"RT @_kaleidoscoper: Instead make dem dey train, saka dey do akeelah and the bee"
4,jhymy,"RT @AchrafHakimi: N̶o̶ ̶A̶f̶r̶i̶c̶a̶n̶ ̶t̶e̶a̶m̶ ̶h̶a̶s̶ ̶e̶v̶e̶r̶ ̶r̶e̶a̶c̶h̶e̶d̶ ̶t̶h̶e̶ ̶W̶o̶r̶l̶d̶ ̶C̶u̶p̶ ̶s̶e̶m̶i̶-̶f̶i̶n̶a̶l̶s̶
🇲🇦 M…"
5,jhymy,RT @DipoAW: I'm screaming. Where was this for Saka and co in the Euros
6,jhymy,They are coming home!
7,jhymy,Tchou Tchou!!
8,jhymy,"Pickford, pick that out."
9,jhymy,"@DipoAW Had me yelling at the TV, could have rounded the keeper or chosen a spot and placed it. Went for an annoying dink."
10,jhymy,RT @Orayvaar: Air Maroc🚀🚀🚀🚀🚀🚀🚀
11,jhymy,RT @M10: Proud 🤲🏼 What a team! 🇲🇦❤️ What an achievement for the African continent &amp; the Muslim world 🤲🏼 Great to see such a fairytale is st…
12,jhymy,RT @officiallyk10: MOROCCOOOOOOO!!!!!! AFRICA IN THE SEMI-FINALS ARE YOU MAD??!!!!!!! https://t.co/EfAZanYoQN
13,jhymy,RT @DamiElebe: This is a good time to give Morocco that Ecowas membership https://t.co/pjmKNfIZOJ
14,jhymy,They did it! Morocco did it!
15,jhymy,https://t.co/8YIVXyST11
16,jhymy,Don’t think I’ve ever seen a Van Dijk penalty
17,jhymy,"@nwoye_chike 😂😂 It's not you, it's them."
18,jhymy,The scriptwriter of the World Cup has to win an Oscar
19,jhymy,Quarter Final Bet Tips https://t.co/svXnqegosv via @BetKingNG
20,jhymy,Team Oranje!
21,jhymy,@DipoAW Him matter dey quick vex me these days
22,jhymy,@DipoAW Abeg abeg! Did Roy Keane win a World Cup? So because they danced after caused them to lose this game?
23,jhymy,https://t.co/BuKn2aHqWu
24,jhymy,This World Cup keeps giving us the drama!
25,jhymy,And that’s it!
26,jhymy,These Croatia penalties are so precise.
27,jhymy,@DerinAdebayo Yes
28,jhymy,RT @DerinAdebayo: Is this the greatest world cup ever?
29,jhymy,First shot on target and they equalise!
30,jhymy,@TheAthleticFC @TifoFootball_ @murilomegale @Jon_Mackenzie @Orayvaar @Otunba_Mendez 😂😂😂
31,jhymy,@Eccentric_sky Don’t do this again.
32,jhymy,@LeftistXX My kind of person 😂
33,jhymy,"Wordle 537 4/6

🟨⬛🟨⬛🟨
⬛🟨🟨🟨⬛
🟩🟩🟨🟨⬛
🟩🟩🟩🟩🟩"
34,jhymy,@baylo__ @swish_mr Better be madam lashes or else…
35,jhymy,@Dubero @DipoAW The plan is to leave these teams till the playoffs
36,jhymy,"@DipoAW Up 1 point with 6 seconds left. Warriors had the ball from a timeout. Jazz stole the ball, got a dunk to win it."
