,User,Tweet
0,Royal_Ryder,RT @AbsoluteChelsea: #Chelsea are exploring the possibility of signing Youssoufa Moukoko. A move is 'certainly not done' but other Premier…
1,offset6mm,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
2,OKAMOTO408,"RT @JRAVAN_info: 【香港カップ】香港ダービー馬ロマンチックウォリアー、2着のダノンザキッドら圧倒して日本勢からタイトル奪還 #競馬 #keiba
https://t.co/0nyvZzm0hJ

【全着順・結果】香港カップ（2022）
https://t.co/…"
3,Tictacbets,"‘Al Hilm’, the official match ball of FIFA World Cup 2022 finals.
The new ball is named Al Hilm which translates as “The Dream”. https://t.co/u18bPGBPTi"
4,QuijoteBeni,"RT @Geryco81: 💉🎁 Regalatela por Navidad!! 😴
#repentinitis #COVID #vacunacion

https://t.co/E9rpcBvTU3 https://t.co/I0Ad66TvZ4"
5,Worldpak2,"Can Ronaldo rediscover his purpose after World Cup exit? | Qatar World Cup 2022 News - https://t.co/V6xI6j3sZM 
Athletes are the most self-actualised species on the planet. Guts and tenacity take them to the top of Maslow’s pyramid but it’s the heightened sense of purpose tha... https://t.co/kpQjwMTVLX"
6,Liii_Lico,"RT @soccanime: FIFA WORLD CUP QATAR 2022
グループE 第3節
日本 2-1 スペイン

VAR CHECK https://t.co/u2wYXG0Shy"
7,3179Arshavin,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
8,xzustinx,"RT @ESPNFC: ❌ 2006
❌ 2010 
❌ 2014 
❌ 2018 
❌ 2022

Ronaldo might be finishing his international career without scoring a knockout stage goa…"
9,ibk_adeniyi,"RT @leotventertain: Today's meme thread 😂😂😂 From Qatar 2022 FIFA World cup to Wizkid (Sir Wizkid, Big WIZ, Popsy)-Ghana show to Dark humors…"
10,hamza31988699,"RT @ZaynMahmood5: Captain Babar Azam in 2022
9 out of 10 L for KK
Lost 1-0 vs Aus at home
1-1 draw vs SL
Bottled one of the easiest Asia cu…"
11,turuma_s,"RT @tak53381102: 元祖コロナウイルスのMERSか。確かにサッカー観戦後に観光に行く人は注意だな
https://t.co/TpVDNyYDij

”ワールドカップから帰国したイングランド・ファンは、致命的なラクダ風邪を家に持ち帰る危険性について警告されている。→"
12,Monalisabbyy,"RT @leotventertain: Today's meme thread 😂😂😂 From Qatar 2022 FIFA World cup to Wizkid (Sir Wizkid, Big WIZ, Popsy)-Ghana show to Dark humors…"
13,_kathiiie,"RT @the_real_comfyy: Choose your betting options for World Cup 2022, place stakes on top matches and get excited about World Cup 2022 with…"
14,ahmedbouelkheir,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
15,OKAMOTO408,"RT @JRAVAN_info: 【香港カップ】レース後のダノンザキッドら関係者コメントです！ #競馬 #keiba

北村友一騎手「前走同様に間を割ってよく伸びてくれたと思います」
https://t.co/luRtkM3SPA

香港国際競走特集（2022）
https:/…"
16,INFLUENCERjr,RT @Tiganalukinja: Nani aingie nani atoke kikosi bora cha hatua ya robo fainali ya World Cup Qatar 2022 https://t.co/FqdGU0S5SQ
17,SyedAounMehdi1,"Captain Babar Azam in 2022
9 out of 10 L for KK
Lost 1-0 vs Aus at home
1-1 draw vs SL
Lost the   Asia cup final 
Lost the world cup final
Lost 2-0 to England at home"
18,lupolynesia,"Bon ben ça c’est fait 🤦🏻‍♀️

https://t.co/tuCINZa1Qq"
19,SuperpowerFb,"The World Cup has reached to the Semi Final stage in the KO rounds and these are the 4 teams 👀 🔥 

Which teams are going to make it to the final 🤔 ?

#Football #Fifa #WorldCup #qatar #2022 #Argentina #Croatia #France #Morocco #Europe #Africa #SouthAmerica #Futebol #SemiFinal https://t.co/JdEJUdHJ3C"
20,tin_tuc_hom_nay,"Ngoài Ronaldo và Messi, World Cup 2022 còn có những con số ‘biết nói’ https://t.co/klzXyBUFvy"
21,EAY_Sports,"""ميسي المستفز"" نقطة تحول جديدة.. الأرجنتين تغازل لقب المونديال https://t.co/oKHiuhA8az #الإمارات_اليوم_الرياضة | #الإمارات_اليوم"
22,bellacaledonia,"This is very good by @jonathanliew on England's World Cup, though the reason they don't want it as much is missing: https://t.co/wjf5jOwhoi"
23,arnoldlafs,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
